"contrast","case_label","control_label","model","score","method","score_disorder","threshold","threshold_numeric","n","n_case","n_control","AUC","mean_case","mean_control","mean_diff","cohen_d","beta","se","z","p","OR","OR_low","OR_high","q_fdr_all","q_fdr_within_contrast_model","exploratory_best_internal"
"BPD_vs_Control","Bipolar","Control","adjusted_sex_PC1_PC5","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",5e-08,80,40,40,0.634375,0.06383487001,-0.2024821965925,0.2663170666025,0.521166872503025,0.734041482958242,0.326240347773054,2.25000214709454,0.0244488090143521,2.08348398019233,1.09923051293725,3.94904021006364,0.139136601848771,0.0696332563607767,TRUE
"BPD_vs_Control","Bipolar","Control","adjusted_sex_PC1_PC5","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",1e-04,80,40,40,0.691875,0.84529417204,0.3470188164475,0.4982753555925,0.640349261114293,0.774659453293733,0.288986855122986,2.68060446197131,0.00734893232159343,2.16985306503361,1.23151512128014,3.82314617374864,0.128136482967228,0.0518752721556558,TRUE
"BPD_vs_Control","Bipolar","Control","adjusted_sex_PC1_PC5","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",0.05,80,40,40,0.67625,-5.528709265975,-9.687967255025,4.15925798905,0.677948319296997,0.852531352897966,0.292568489961477,2.91395479058671,0.00356881585607896,2.34557682602691,1.32193571421542,4.16187458106448,0.128136482967228,0.0518752721556558,TRUE
"BPD_vs_Control","Bipolar","Control","unadjusted","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",5e-08,80,40,40,0.634375,0.06383487001,-0.2024821965925,0.2663170666025,0.521166872503025,0.668776412257769,0.307161413587398,2.17728003152153,0.0294596801364159,1.95184760211829,1.06901754198875,3.56374793888556,0.141072490040171,0.0679129126529016,TRUE
"BPD_vs_Control","Bipolar","Control","unadjusted","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",1e-04,80,40,40,0.691875,0.84529417204,0.3470188164475,0.4982753555925,0.640349261114293,0.70733686893665,0.270691681879375,2.61307205314071,0.00897323822421264,2.02858167974925,1.19336992233982,3.44833865373931,0.128136482967228,0.0573026634248753,TRUE
"BPD_vs_Control","Bipolar","Control","unadjusted","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",0.05,80,40,40,0.67625,-5.528709265975,-9.687967255025,4.15925798905,0.677948319296997,0.726205707551337,0.263995857134124,2.75082236302817,0.00594458695181764,2.06722206323004,1.23216628496804,3.46820645138484,0.128136482967228,0.0573026634248753,TRUE
"BPD_vs_MDD","Bipolar","MDD","adjusted_sex_PC1_PC5","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",1e-06,79,40,39,0.678846153846154,-0.4668338777575,-1.00804435578462,0.541210478027115,0.645704640763344,0.734912801226947,0.27745489295807,2.64876497001626,0.00807864923644296,2.08530014896244,1.21058197012815,3.59205474603463,0.128136482967228,0.0610172420262324,TRUE
"BPD_vs_MDD","Bipolar","MDD","adjusted_sex_PC1_PC5","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",0.1,79,40,39,0.675,0.0525885475,-1.32952354091795,1.38211208841795,0.644961963431578,0.716356097676781,0.272886653284055,2.62510492563778,0.0086622269079821,2.0469606795498,1.199012447117,3.49458259061268,0.128136482967228,0.0610172420262324,TRUE
"BPD_vs_MDD","Bipolar","MDD","adjusted_sex_PC1_PC5","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",0.001,79,40,39,0.633974358974359,-1.795229469555,-3.71280044939744,1.91757097984244,0.571422457732743,0.678610170252162,0.279139517455885,2.43107882551746,0.0150539390647761,1.97113628375421,1.14053416224609,3.40663031213442,0.128136482967228,0.0610172420262324,TRUE
"BPD_vs_MDD","Bipolar","MDD","unadjusted","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",1e-06,79,40,39,0.678846153846154,-0.4668338777575,-1.00804435578462,0.541210478027115,0.645704640763344,0.687257372303503,0.264474322847324,2.59857881439871,0.00936105529251693,1.98825500532307,1.18398716913367,3.33885203256451,0.128136482967228,0.0705286856760042,TRUE
"BPD_vs_MDD","Bipolar","MDD","unadjusted","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",0.1,79,40,39,0.675,0.0525885475,-1.32952354091795,1.38211208841795,0.644961963431578,0.679848934800005,0.257091821002711,2.64438180938022,0.00818402824430356,1.97357957051756,1.19237720488401,3.26659743679281,0.128136482967228,0.0705286856760042,TRUE
"BPD_vs_MDD","Bipolar","MDD","unadjusted","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",0.001,79,40,39,0.633974358974359,-1.795229469555,-3.71280044939744,1.91757097984244,0.571422457732743,0.645149201158118,0.271436074877724,2.37679977301744,0.0174635648045048,1.90627142595968,1.11978252729796,3.24515757376468,0.129212983114375,0.0705286856760042,TRUE
"CaseUnion_vs_Control","MDD+Bipolar","Control","adjusted_sex_PC1_PC5","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",5e-08,119,79,40,0.582911392405063,-0.0718781861489873,-0.2024821965925,0.130604010443513,0.212874483862399,0.258107922758125,0.203167453272947,1.27041963956386,0.203935191144041,1.29447851477755,0.869271055608644,1.92767792555503,0.346713178239343,0.407027432196047,TRUE
