"contrast","score","method","score_disorder","threshold","n_case","n_control","mean_case","mean_control","mean_diff","cohen_d"
"MDD_vs_Control","BPD_BIP_2024.EUR_pgs_a0.5_b5e-08","GraphPred_score","BPD","GraphPred",39,40,-0.516384808974359,-0.51983934525,0.00345453627564096,0.0114107144147451
"MDD_vs_Control","MDD_MDD_2025_pgs_a0.5_b2e-08","GraphPred_score","MDD","GraphPred",39,40,-0.0561060261538462,-0.10090078925,0.0447947630961538,0.267444368648861
"MDD_vs_Control","SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07","GraphPred_score","SCZD","GraphPred",39,40,-1.16731276153846,-1.2139170125,0.0466042509615385,0.0729478605069568
"MDD_vs_Control","PRSice_BPD_Pt_5e-08","PRSice","BPD","5e-08",39,40,-0.211071064260769,-0.2024821965925,-0.00858886766826925,-0.0125344339049045
"MDD_vs_Control","PRSice_BPD_Pt_1e-06","PRSice","BPD","1e-06",39,40,-1.00804435578462,-0.8288768435575,-0.179167512227115,-0.196728829312539
"MDD_vs_Control","PRSice_BPD_Pt_0.0001","PRSice","BPD","0.0001",39,40,1.67919430610256,2.07515523148,-0.395960925377436,-0.28528725313342
"MDD_vs_Control","PRSice_BPD_Pt_0.001","PRSice","BPD","0.001",39,40,1.79814852661538,2.2008285042,-0.402679977584615,-0.199738071585823
"MDD_vs_Control","PRSice_BPD_Pt_0.01","PRSice","BPD","0.01",39,40,-3.10564307964103,-2.6479763888625,-0.457666690778526,-0.134228359177636
"MDD_vs_Control","PRSice_BPD_Pt_0.05","PRSice","BPD","0.05",39,40,-3.58601341333333,-3.042324349675,-0.543689063658333,-0.108743062646119
"MDD_vs_Control","PRSice_BPD_Pt_0.1","PRSice","BPD","0.1",39,40,-4.43594666884359,-3.8847367257,-0.55120994314359,-0.0987952916065181
"MDD_vs_Control","PRSice_BPD_Pt_0.5","PRSice","BPD","0.5",39,40,-9.80822502141026,-9.65945937095,-0.148765650460257,-0.0219795319685147
"MDD_vs_Control","PRSice_BPD_Pt_1","PRSice","BPD","1",39,40,-8.84668703585385,-8.738782979775,-0.107904056078846,-0.0156589292949306
"MDD_vs_Control","PRSice_MDD_Pt_5e-08","PRSice","MDD","5e-08",39,40,-0.0281394463953846,-0.0831602277,0.0550207813046154,0.11144137854733
"MDD_vs_Control","PRSice_MDD_Pt_1e-06","PRSice","MDD","1e-06",39,40,-0.179076910095641,-0.234321826781,0.055244916685359,0.0967107067152854
"MDD_vs_Control","PRSice_MDD_Pt_0.0001","PRSice","MDD","0.0001",39,40,0.405754168169231,0.3470188164475,0.0587353517217308,0.0691730709263603
"MDD_vs_Control","PRSice_MDD_Pt_0.001","PRSice","MDD","0.001",39,40,1.49738253645897,1.478610768515,0.0187717679439743,0.016087494278233
"MDD_vs_Control","PRSice_MDD_Pt_0.01","PRSice","MDD","0.01",39,40,1.03575058144256,0.929672100575,0.106078480867564,0.0655217020661936
"MDD_vs_Control","PRSice_MDD_Pt_0.05","PRSice","MDD","0.05",39,40,0.059622279935641,0.010362904762,0.049259375173641,0.024244574189063
"MDD_vs_Control","PRSice_MDD_Pt_0.1","PRSice","MDD","0.1",39,40,-1.32952354091795,-1.1542840170325,-0.175239523885449,-0.0767072169110244
"MDD_vs_Control","PRSice_MDD_Pt_0.5","PRSice","MDD","0.5",39,40,-4.67334767310256,-4.449327285425,-0.224020387677564,-0.0815703988068532
"MDD_vs_Control","PRSice_MDD_Pt_1","PRSice","MDD","1",39,40,-4.56405529579487,-4.2638338737,-0.300221422094872,-0.105848067999944
"MDD_vs_Control","PRSice_SCZD_Pt_5e-08","PRSice","SCZD","5e-08",39,40,-1.11840280458462,-0.866646411125,-0.251756393459615,-0.103869541951168
"MDD_vs_Control","PRSice_SCZD_Pt_1e-06","PRSice","SCZD","1e-06",39,40,-1.60732249181559,-1.412408243515,-0.19491424830059,-0.074805104750586
"MDD_vs_Control","PRSice_SCZD_Pt_0.0001","PRSice","SCZD","0.0001",39,40,-3.32889209950282,-3.41174086926625,0.0828487697634297,0.0262851223848211
"MDD_vs_Control","PRSice_SCZD_Pt_0.001","PRSice","SCZD","0.001",39,40,-3.71280044939744,-3.8620962424425,0.149295793045064,0.0378723549133186
"MDD_vs_Control","PRSice_SCZD_Pt_0.01","PRSice","SCZD","0.01",39,40,-2.68517596181538,-3.9436394103,1.25846344848462,0.234247176123141
"MDD_vs_Control","PRSice_SCZD_Pt_0.05","PRSice","SCZD","0.05",39,40,-8.45102216769231,-9.687967255025,1.23694508733269,0.19820035174744
"MDD_vs_Control","PRSice_SCZD_Pt_0.1","PRSice","SCZD","0.1",39,40,-14.3500236780462,-16.26991523125,1.91989155320385,0.278589930102523
"MDD_vs_Control","PRSice_SCZD_Pt_0.5","PRSice","SCZD","0.5",39,40,-16.7486970187179,-17.45061559275,0.701918574032053,0.0895011022170201
"MDD_vs_Control","PRSice_SCZD_Pt_1","PRSice","SCZD","1",39,40,-16.6136067819487,-17.4227162085,0.809109426551281,0.102634020857128
"BPD_vs_Control","BPD_BIP_2024.EUR_pgs_a0.5_b5e-08","GraphPred_score","BPD","GraphPred",40,40,-0.3871983525,-0.51983934525,0.13264099275,0.468380312728952
"BPD_vs_Control","MDD_MDD_2025_pgs_a0.5_b2e-08","GraphPred_score","MDD","GraphPred",40,40,0.012753085075,-0.10090078925,0.113653874325,0.687958410454021
