"universe","region","count"
"exact_variant_CHROM_POS_REF_ALT","BPD_only",1246
"exact_variant_CHROM_POS_REF_ALT","MDD_only",11809
"exact_variant_CHROM_POS_REF_ALT","SCZD_only",17040
"exact_variant_CHROM_POS_REF_ALT","BPD_MDD_only",94
"exact_variant_CHROM_POS_REF_ALT","BPD_SCZD_only",872
"exact_variant_CHROM_POS_REF_ALT","MDD_SCZD_only",1740
"exact_variant_CHROM_POS_REF_ALT","BPD_MDD_SCZD",805
"exact_variant_CHROM_POS_REF_ALT","BPD_total",3017
"exact_variant_CHROM_POS_REF_ALT","MDD_total",14448
"exact_variant_CHROM_POS_REF_ALT","SCZD_total",20457
"exact_variant_CHROM_POS_REF_ALT","union_total",33606
"position_CHROM_POS","BPD_only",1246
"position_CHROM_POS","MDD_only",11809
"position_CHROM_POS","SCZD_only",17037
"position_CHROM_POS","BPD_MDD_only",94
"position_CHROM_POS","BPD_SCZD_only",872
"position_CHROM_POS","MDD_SCZD_only",1740
"position_CHROM_POS","BPD_MDD_SCZD",805
"position_CHROM_POS","BPD_total",3017
"position_CHROM_POS","MDD_total",14448
"position_CHROM_POS","SCZD_total",20454
"position_CHROM_POS","union_total",33603
