method_compared_to_graphpred	disorder	threshold	threshold_label	score_x	score_y	n	pearson	spearman	z_rmse	best_abs_pearson_for_method
PRSice_C+T	SCZD	5e-08	5e-08	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_5e-08	119	0.679218236919935	0.662612163509472	0.797604059683958	FALSE
PRSice_C+T	SCZD	1e-06	1e-06	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_1e-06	119	0.707458309341647	0.682723258795044	0.761686755987537	FALSE
PRSice_C+T	SCZD	1e-04	1e-04	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_1e-04	119	0.739235105708409	0.721734795613161	0.719129463530578	FALSE
PRSice_C+T	SCZD	0.001	0.001	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_0.001	119	0.790456326274466	0.767775245691497	0.644643781506897	FALSE
PRSice_C+T	SCZD	0.01	0.01	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_0.01	119	0.79515858801446	0.754785643070788	0.637369681711172	FALSE
PRSice_C+T	SCZD	0.05	0.05	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_0.05	119	0.825460838158284	0.795805440820396	0.588340796130929	TRUE
PRSice_C+T	SCZD	0.1	0.1	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_0.1	119	0.803340077173251	0.77204101979775	0.624511518601934	FALSE
PRSice_C+T	SCZD	0.5	0.5	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_0.5	119	0.781334072819823	0.757769548497365	0.658526230882785	FALSE
PRSice_C+T	SCZD	1	1	GraphPred_SCZD	PRSice_C+T_SCZD_Pt_1	119	0.781592431312712	0.752713288705313	0.658137084454639	FALSE
Shizhong_C+T	SCZD	1e-08	1e-08	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_1e-08	119	0.625479905691633	0.593426862270332	0.861826974079024	FALSE
Shizhong_C+T	SCZD	1e-07	1e-07	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_1e-07	119	0.684381453120108	0.662035322603618	0.791159010797984	FALSE
Shizhong_C+T	SCZD	1e-06	1e-06	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_1e-06	119	0.712513669374558	0.70698618430423	0.755076789614913	FALSE
Shizhong_C+T	SCZD	1e-05	1e-05	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_1e-05	119	0.711648921271866	0.671086739780658	0.756211558255352	FALSE
Shizhong_C+T	SCZD	1e-04	1e-04	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_1e-04	119	0.718081295023813	0.710297678393391	0.74772941660535	FALSE
Shizhong_C+T	SCZD	0.001	0.001	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.001	119	0.78314901275143	0.79018658310782	0.655787633376538	TRUE
Shizhong_C+T	SCZD	0.01	0.01	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.01	119	0.7595401718533	0.75521293263068	0.690563765805791	FALSE
Shizhong_C+T	SCZD	0.05	0.05	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.05	119	0.774573469560773	0.782281726249822	0.668628730832441	FALSE
Shizhong_C+T	SCZD	0.1	0.1	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.1	119	0.740069009607614	0.747676163788687	0.717978685415487	FALSE
Shizhong_C+T	SCZD	0.2	0.2	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.2	119	0.707914346377007	0.696994730095428	0.761092835772409	FALSE
Shizhong_C+T	SCZD	0.3	0.3	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.3	119	0.707335984522748	0.694879646773964	0.76184598706386	FALSE
Shizhong_C+T	SCZD	0.4	0.4	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.4	119	0.70124519858844	0.675202962540949	0.769732754742687	FALSE
Shizhong_C+T	SCZD	0.5	0.5	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.5	119	0.69990298377744	0.673678963110668	0.771459905059005	FALSE
Shizhong_C+T	SCZD	0.6	0.6	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.6	119	0.695062273453783	0.664476799878874	0.7776570254842	FALSE
Shizhong_C+T	SCZD	0.7	0.7	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.7	119	0.689592036350592	0.661256667561759	0.784601164116699	FALSE
Shizhong_C+T	SCZD	0.8	0.8	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.8	119	0.690705319524524	0.658238350090877	0.7831929079269	FALSE
Shizhong_C+T	SCZD	0.9	0.9	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_0.9	119	0.690589421797328	0.656067511750463	0.783339631718212	FALSE
Shizhong_C+T	SCZD	1	1	GraphPred_SCZD	Shizhong_C+T_SCZD_Pt_1	119	0.690650523009207	0.656281156530409	0.783262282449367	FALSE
