disorder	score_x	method_x	threshold_x	score_y	method_y	threshold_y	n	pearson	spearman	z_rmse
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_1e-07	Shizhong_C+T	1e-07	119	0.830150445400841	0.780629539951574	0.580383058708046
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_1e-06	Shizhong_C+T	1e-06	119	0.712920534360766	0.639581256231306	0.754542289278568
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_1e-05	Shizhong_C+T	1e-05	119	0.62794454551267	0.550049850448654	0.858986540130946
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_1e-04	Shizhong_C+T	1e-04	119	0.485575168102511	0.430928642643498	1.01005141864209
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.001	Shizhong_C+T	0.001	119	0.443774431108605	0.435982117900773	1.05028701262743
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.01	Shizhong_C+T	0.01	119	0.408297541293739	0.378450363196126	1.08326374363522
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.05	Shizhong_C+T	0.05	119	0.401430534150454	0.3839481555334	1.08953152348907
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.1	Shizhong_C+T	0.1	119	0.391974261660226	0.365882882872062	1.09810407371408
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.2	Shizhong_C+T	0.2	119	0.37350836977347	0.344502207662726	1.11465420169522
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.3	Shizhong_C+T	0.3	119	0.365763205866731	0.353859849024356	1.1215231367869
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.4	Shizhong_C+T	0.4	119	0.359930393356701	0.346987608602763	1.12666842545002
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.5	Shizhong_C+T	0.5	119	0.368092704010266	0.355839623985187	1.11946161224517
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.6	Shizhong_C+T	0.6	119	0.377858936264081	0.374455205811138	1.11077719419339
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.7	Shizhong_C+T	0.7	119	0.378791402244254	0.379227956233554	1.10994446477152
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.8	Shizhong_C+T	0.8	119	0.37971854229342	0.3792237203106	1.10911587174844
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_0.9	Shizhong_C+T	0.9	119	0.378357791609954	0.375772681954138	1.11033177409811
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	Shizhong_BPD_Pt_1	Shizhong_C+T	1	119	0.378024466451196	0.375343836409551	1.11062941469505
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	PRSice_BPD_Pt_5e-08	PRSice_C+T	5e-08	119	0.784446636503559	0.788783649052842	0.653822591677513
BPD	Shizhong_BPD_Pt_1e-08	Shizhong_C+T	1e-08	PRSice_BPD_Pt_1e-06	PRSice_C+T	1e-06	119	0.700440485007346	0.663416892180601	0.770768717766848
