disorder	threshold	threshold_label	score_x	score_y	n	pearson	spearman	z_rmse
BPD	1e-06	1e-06	PRSice_BPD_Pt_1e-06	Shizhong_BPD_Pt_1e-06	119	0.900233551389385	0.911871528272326	0.444810240648478
BPD	1e-04	1e-04	PRSice_BPD_Pt_1e-04	Shizhong_BPD_Pt_1e-04	119	0.883257485455323	0.887480415895172	0.481168338548347
BPD	0.001	0.001	PRSice_BPD_Pt_0.001	Shizhong_BPD_Pt_0.001	119	0.916816504841837	0.917751954409577	0.406163696532439
BPD	0.01	0.01	PRSice_BPD_Pt_0.01	Shizhong_BPD_Pt_0.01	119	0.89992000745714	0.901082466885059	0.4455086625469
BPD	0.05	0.05	PRSice_BPD_Pt_0.05	Shizhong_BPD_Pt_0.05	119	0.921259011554099	0.930423016664293	0.39516907638975
BPD	0.1	0.1	PRSice_BPD_Pt_0.1	Shizhong_BPD_Pt_0.1	119	0.929630482688078	0.943787977801408	0.373572420904727
BPD	0.5	0.5	PRSice_BPD_Pt_0.5	Shizhong_BPD_Pt_0.5	119	0.908678411663585	0.920759151118075	0.425568278966061
BPD	1	1	PRSice_BPD_Pt_1	Shizhong_BPD_Pt_1	119	0.91440441732614	0.92497289368696	0.412010417497314
MDD	1e-06	1e-06	PRSice_MDD_Pt_1e-06	Shizhong_MDD_Pt_1e-06	119	0.895729665290932	0.878770830366045	0.454739735253016
MDD	1e-04	1e-04	PRSice_MDD_Pt_1e-04	Shizhong_MDD_Pt_1e-04	119	0.903574735576093	0.89793476712719	0.437298452053538
MDD	0.001	0.001	PRSice_MDD_Pt_0.001	Shizhong_MDD_Pt_0.001	119	0.906228254004737	0.900811850163795	0.431239488288715
MDD	0.01	0.01	PRSice_MDD_Pt_0.01	Shizhong_MDD_Pt_0.01	119	0.913898484112469	0.885821108104259	0.41322626668017
MDD	0.05	0.05	PRSice_MDD_Pt_0.05	Shizhong_MDD_Pt_0.05	119	0.917415283794127	0.917753881213503	0.404699214217323
MDD	0.1	0.1	PRSice_MDD_Pt_0.1	Shizhong_MDD_Pt_0.1	119	0.914791399412877	0.911579547073067	0.411078002152212
MDD	0.5	0.5	PRSice_MDD_Pt_0.5	Shizhong_MDD_Pt_0.5	119	0.9250857251008	0.923678963110668	0.385447125238619
MDD	1	1	PRSice_MDD_Pt_1	Shizhong_MDD_Pt_1	119	0.930741958627776	0.924141860133884	0.370610418160521
SCZD	1e-06	1e-06	PRSice_SCZD_Pt_1e-06	Shizhong_SCZD_Pt_1e-06	119	0.924231514472097	0.907983193277311	0.387638428346528
SCZD	1e-04	1e-04	PRSice_SCZD_Pt_1e-04	Shizhong_SCZD_Pt_1e-04	119	0.881417906173369	0.879169633955277	0.484944544547547
SCZD	0.001	0.001	PRSice_SCZD_Pt_0.001	Shizhong_SCZD_Pt_0.001	119	0.893790409597425	0.90051274747187	0.458948957589331
SCZD	0.01	0.01	PRSice_SCZD_Pt_0.01	Shizhong_SCZD_Pt_0.01	119	0.876618890729336	0.874854009400371	0.494660071617617
SCZD	0.05	0.05	PRSice_SCZD_Pt_0.05	Shizhong_SCZD_Pt_0.05	119	0.889454480648952	0.851652186298248	0.468223377047583
SCZD	0.1	0.1	PRSice_SCZD_Pt_0.1	Shizhong_SCZD_Pt_0.1	119	0.851175023457812	0.812086618870784	0.543275890293709
SCZD	0.5	0.5	PRSice_SCZD_Pt_0.5	Shizhong_SCZD_Pt_0.5	119	0.840630782867815	0.801331719128329	0.562192102423055
SCZD	1	1	PRSice_SCZD_Pt_1	Shizhong_SCZD_Pt_1	119	0.841126352516428	0.792273180458624	0.561317334162491
