source_file	method	disorder	threshold_count	sample_count	score_columns
PRS_Bipolar.csv	Shizhong_C+T	BPD	18	119	Shizhong_BPD_Pt_1e-08;Shizhong_BPD_Pt_1e-07;Shizhong_BPD_Pt_1e-06;Shizhong_BPD_Pt_1e-05;Shizhong_BPD_Pt_1e-04;Shizhong_BPD_Pt_0.001;Shizhong_BPD_Pt_0.01;Shizhong_BPD_Pt_0.05;Shizhong_BPD_Pt_0.1;Shizhong_BPD_Pt_0.2;Shizhong_BPD_Pt_0.3;Shizhong_BPD_Pt_0.4;Shizhong_BPD_Pt_0.5;Shizhong_BPD_Pt_0.6;Shizhong_BPD_Pt_0.7;Shizhong_BPD_Pt_0.8;Shizhong_BPD_Pt_0.9;Shizhong_BPD_Pt_1
PRS_MDD.csv	Shizhong_C+T	MDD	18	119	Shizhong_MDD_Pt_1e-08;Shizhong_MDD_Pt_1e-07;Shizhong_MDD_Pt_1e-06;Shizhong_MDD_Pt_1e-05;Shizhong_MDD_Pt_1e-04;Shizhong_MDD_Pt_0.001;Shizhong_MDD_Pt_0.01;Shizhong_MDD_Pt_0.05;Shizhong_MDD_Pt_0.1;Shizhong_MDD_Pt_0.2;Shizhong_MDD_Pt_0.3;Shizhong_MDD_Pt_0.4;Shizhong_MDD_Pt_0.5;Shizhong_MDD_Pt_0.6;Shizhong_MDD_Pt_0.7;Shizhong_MDD_Pt_0.8;Shizhong_MDD_Pt_0.9;Shizhong_MDD_Pt_1
PRS_SCZ.csv	Shizhong_C+T	SCZD	18	119	Shizhong_SCZD_Pt_1e-08;Shizhong_SCZD_Pt_1e-07;Shizhong_SCZD_Pt_1e-06;Shizhong_SCZD_Pt_1e-05;Shizhong_SCZD_Pt_1e-04;Shizhong_SCZD_Pt_0.001;Shizhong_SCZD_Pt_0.01;Shizhong_SCZD_Pt_0.05;Shizhong_SCZD_Pt_0.1;Shizhong_SCZD_Pt_0.2;Shizhong_SCZD_Pt_0.3;Shizhong_SCZD_Pt_0.4;Shizhong_SCZD_Pt_0.5;Shizhong_SCZD_Pt_0.6;Shizhong_SCZD_Pt_0.7;Shizhong_SCZD_Pt_0.8;Shizhong_SCZD_Pt_0.9;Shizhong_SCZD_Pt_1
../prsice/out/mbv_prsice_scores.tsv	PRSice_C+T	BPD	9	119	PRSice_BPD_Pt_5e-08;PRSice_BPD_Pt_1e-06;PRSice_BPD_Pt_0.0001;PRSice_BPD_Pt_0.001;PRSice_BPD_Pt_0.01;PRSice_BPD_Pt_0.05;PRSice_BPD_Pt_0.1;PRSice_BPD_Pt_0.5;PRSice_BPD_Pt_1
../prsice/out/mbv_prsice_scores.tsv	PRSice_C+T	MDD	9	119	PRSice_MDD_Pt_5e-08;PRSice_MDD_Pt_1e-06;PRSice_MDD_Pt_0.0001;PRSice_MDD_Pt_0.001;PRSice_MDD_Pt_0.01;PRSice_MDD_Pt_0.05;PRSice_MDD_Pt_0.1;PRSice_MDD_Pt_0.5;PRSice_MDD_Pt_1
../prsice/out/mbv_prsice_scores.tsv	PRSice_C+T	SCZD	9	119	PRSice_SCZD_Pt_5e-08;PRSice_SCZD_Pt_1e-06;PRSice_SCZD_Pt_0.0001;PRSice_SCZD_Pt_0.001;PRSice_SCZD_Pt_0.01;PRSice_SCZD_Pt_0.05;PRSice_SCZD_Pt_0.1;PRSice_SCZD_Pt_0.5;PRSice_SCZD_Pt_1
../scores_bcftools/mbv_graphpred_scores.tsv	GraphPred_bcftools	BPD	1	119	GraphPred_BPD
../scores_bcftools/mbv_graphpred_scores.tsv	GraphPred_bcftools	MDD	1	119	GraphPred_MDD
../scores_bcftools/mbv_graphpred_scores.tsv	GraphPred_bcftools	SCZD	1	119	GraphPred_SCZD
