method	disorder	threshold_label	score_col	PrimaryDx	n	mean_z	sd_z	median_z	iqr_z
Shizhong_C+T	SCZD	0.001	Shizhong_SCZD_Pt_0.001	Control	40	-0.194597723645868	1.05792901442705	0.0649810332919728	1.33258685034717
PRSice_C+T	BPD	0.001	PRSice_BPD_Pt_0.001	Control	40	-0.0310619577174881	0.815541469351966	0.0741744531831216	1.08529066323118
Shizhong_C+T	SCZD	1e-04	Shizhong_SCZD_Pt_1e-04	Control	40	-0.150748001715475	0.978690246971383	-0.22939003381346	1.38361204529235
Shizhong_C+T	MDD	0.01	Shizhong_MDD_Pt_0.01	Control	40	-0.0996071410739572	0.977288513026939	0.11853101670153	1.44975510762839
PRSice_C+T	SCZD	1e-06	PRSice_SCZD_Pt_1e-06	Control	40	-0.120787201460247	1.00029109596585	0.173220339182496	1.02971546526508
Shizhong_C+T	SCZD	1e-05	Shizhong_SCZD_Pt_1e-05	Control	40	-0.191896714661401	0.913747766420025	-0.0102835924583544	1.14194920968299
PRSice_C+T	SCZD	5e-08	PRSice_SCZD_Pt_5e-08	Control	40	-0.0978693590641208	0.996073242733498	0.141367549344015	1.07536463843189
Shizhong_C+T	SCZD	1e-06	Shizhong_SCZD_Pt_1e-06	Control	40	-0.138159776646733	0.943914015150324	0.246579884707855	1.26656545650071
PRSice_C+T	MDD	1	PRSice_MDD_Pt_1	Control	40	-0.113780236840531	1.06654364944168	-0.061890561439387	1.22010327229156
Shizhong_C+T	SCZD	1e-07	Shizhong_SCZD_Pt_1e-07	Control	40	-0.103119193219137	0.959763542870497	0.00475283053271684	1.23681626753577
Shizhong_C+T	MDD	1e-05	Shizhong_MDD_Pt_1e-05	Control	40	-0.183259080342549	1.05964567228481	-0.235462909135579	1.2859904853961
PRSice_C+T	MDD	0.5	PRSice_MDD_Pt_0.5	Control	40	-0.142164250572109	1.05175158071332	-0.0505599730875578	1.20183124010488
Shizhong_C+T	MDD	1e-06	Shizhong_MDD_Pt_1e-06	Control	40	-0.21655759323009	1.13255219574685	-0.28976110565845	1.21351431107116
Shizhong_C+T	SCZD	1e-08	Shizhong_SCZD_Pt_1e-08	Control	40	-0.143673379574596	0.957853724457718	-0.0613083885101475	1.4103174209837
Shizhong_C+T	MDD	1e-07	Shizhong_MDD_Pt_1e-07	Control	40	-0.226562775013577	1.10990661334916	-0.436813207981559	1.59061239708685
Shizhong_C+T	MDD	1	Shizhong_MDD_Pt_1	Control	40	-0.0508787021831839	1.04688825967582	0.0352310772296712	1.21117840465658
GraphPred_bcftools	SCZD	NA	GraphPred_SCZD	Control	40	-0.224241438246062	0.982353072284441	-0.27843318720108	1.36141867454873
Shizhong_C+T	MDD	0.9	Shizhong_MDD_Pt_0.9	Control	40	-0.0507557217988217	1.04749602183912	0.0365308948128171	1.20883110509584
Shizhong_C+T	MDD	1e-08	Shizhong_MDD_Pt_1e-08	Control	40	-0.0711588522746708	1.043773286126	-0.264381404515082	1.42806860452343
PRSice_C+T	MDD	0.001	PRSice_MDD_Pt_0.001	Control	40	-0.154334226702475	0.977239139754027	-0.269283597100005	1.2405196339306
Shizhong_C+T	MDD	0.8	Shizhong_MDD_Pt_0.8	Control	40	-0.0522405339400569	1.04884342310302	0.0344471606992866	1.20040313028906
PRSice_C+T	MDD	1e-04	PRSice_MDD_Pt_0.0001	Control	40	-0.226002084617632	1.06306203564275	-0.304611511815103	1.05441218940189
Shizhong_C+T	BPD	0.9	Shizhong_BPD_Pt_0.9	Control	40	-0.0489122556939661	1.03960323831711	-0.119919506224711	1.68777502488613
GraphPred_bcftools	BPD	NA	GraphPred_BPD	Control	40	-0.152320616033349	0.945148290454053	-0.377834931404533	1.4395418885069
PRSice_C+T	BPD	0.05	PRSice_BPD_Pt_0.05	Control	40	-0.0637348565242501	0.974107954262157	-0.0968724419457089	1.35026480881564
PRSice_C+T	SCZD	1	PRSice_SCZD_Pt_1	Control	40	-0.180409020120923	0.891466167878898	-0.225434695448376	1.13912819835388
PRSice_C+T	BPD	0.01	PRSice_BPD_Pt_0.01	Control	40	-0.0325164404847093	1.00053180507835	0.0064643025860434	1.27785128580524
Shizhong_C+T	MDD	0.5	Shizhong_MDD_Pt_0.5	Control	40	-0.0688971973110477	1.03768691184424	-0.0356189925076136	1.22084887860404
PRSice_C+T	MDD	5e-08	PRSice_MDD_Pt_5e-08	Control	40	-0.133063707036124	1.16572478802261	-0.148121335087142	1.26645775084483
Shizhong_C+T	BPD	0.6	Shizhong_BPD_Pt_0.6	Control	40	-0.0580708466972257	1.03965064356554	-0.122708825280846	1.75622560742157
PRSice_C+T	BPD	1	PRSice_BPD_Pt_1	Control	40	-0.123705366126294	1.0438765035325	-0.206704535074961	1.7154698028193
Shizhong_C+T	MDD	0.3	Shizhong_MDD_Pt_0.3	Control	40	-0.0654796066851291	1.05631184382389	-0.0389333971809993	1.05910150740095
Shizhong_C+T	BPD	0.5	Shizhong_BPD_Pt_0.5	Control	40	-0.0560914704231957	1.04165726682038	-0.102001797718194	1.66283351407467
PRSice_C+T	BPD	0.5	PRSice_BPD_Pt_0.5	Control	40	-0.118672119911126	1.04602629165388	-0.146682966976196	1.7553191602675
Shizhong_C+T	MDD	1e-04	Shizhong_MDD_Pt_1e-04	Control	40	-0.231437208057141	0.989136168817099	-0.26499774430775	1.05161909101779
PRSice_C+T	SCZD	0.01	PRSice_SCZD_Pt_0.01	Control	40	-0.239930351223085	1.05066585472396	0.000814695587237669	1.28570996011183
Shizhong_C+T	BPD	0.3	Shizhong_BPD_Pt_0.3	Control	40	-0.0445717515044321	1.06143118951494	-0.068523287463857	1.68723966239091
PRSice_C+T	BPD	5e-08	PRSice_BPD_Pt_5e-08	Control	40	-0.141198431549466	0.974784336953676	-0.0468010566406019	1.05045364275035
Shizhong_C+T	MDD	0.1	Shizhong_MDD_Pt_0.1	Control	40	-0.0959551085283256	1.00011616437602	-0.00684290984450021	1.02990821974722
Shizhong_C+T	SCZD	1	Shizhong_SCZD_Pt_1	Control	40	-0.203060020133913	0.92553708804875	-0.33150510663994	1.09134383007187
Shizhong_C+T	MDD	0.05	Shizhong_MDD_Pt_0.05	Control	40	-0.0957362763723335	1.02645585624084	-0.103229180809298	1.41489282049018
Shizhong_C+T	BPD	1e-05	Shizhong_BPD_Pt_1e-05	Control	40	-0.13562353690817	0.881093802777185	-0.126630903228765	1.31198205776824
Shizhong_C+T	BPD	0.1	Shizhong_BPD_Pt_0.1	Control	40	-0.0680531288408564	1.06000782537251	-0.1944818661507	1.77157153656668
PRSice_C+T	BPD	1e-04	PRSice_BPD_Pt_0.0001	Control	40	-0.0151970238959794	0.878142710927853	0.0217460055828317	0.942874018136401
Shizhong_C+T	BPD	0.05	Shizhong_BPD_Pt_0.05	Control	40	-0.0404982482479821	1.02940216768685	0.0158593265266772	1.62967151634579
Shizhong_C+T	MDD	0.001	Shizhong_MDD_Pt_0.001	Control	40	-0.131993464082503	0.908612406936468	-0.328879799773414	1.14292835557143
Shizhong_C+T	SCZD	0.7	Shizhong_SCZD_Pt_0.7	Control	40	-0.19916001435628	0.924493800173911	-0.307463700287799	1.0409170086135
Shizhong_C+T	BPD	1	Shizhong_BPD_Pt_1	Control	40	-0.0496455656232624	1.04003710908273	-0.119928733432453	1.69141967070568
PRSice_C+T	BPD	1e-06	PRSice_BPD_Pt_1e-06	Control	40	-0.0740336167017792	0.946223649368951	0.0422656422116714	1.41024325889043
Shizhong_C+T	BPD	0.001	Shizhong_BPD_Pt_0.001	Control	40	-0.151993731319025	0.94332280627484	0.0215191684690361	1.2617032932028
Shizhong_C+T	BPD	0.7	Shizhong_BPD_Pt_0.7	Control	40	-0.0569046916905927	1.03691298847107	-0.128365867201272	1.67345790752858
Shizhong_C+T	BPD	1e-04	Shizhong_BPD_Pt_1e-04	Control	40	-0.112708689316358	0.924321558032387	-0.0797766815289397	1.52785879587709
Shizhong_C+T	BPD	0.8	Shizhong_BPD_Pt_0.8	Control	40	-0.0544006595339842	1.03504986138821	-0.12770740676762	1.65966898762189
PRSice_C+T	MDD	0.1	PRSice_MDD_Pt_0.1	Control	40	-0.157286895857347	0.992827552583945	-0.0746595270343087	1.13991771273518
Shizhong_C+T	BPD	1e-07	Shizhong_BPD_Pt_1e-07	Control	40	-0.172584015088818	0.848253573126152	-0.270002760919112	1.13638424932672
PRSice_C+T	MDD	0.05	PRSice_MDD_Pt_0.05	Control	40	-0.170043639177369	0.999145637909523	-0.157073926683006	1.0940195097125
Shizhong_C+T	BPD	1e-06	Shizhong_BPD_Pt_1e-06	Control	40	-0.109168211862963	0.930799702628891	-0.0112763934587097	1.53739223018442
PRSice_C+T	MDD	0.01	PRSice_MDD_Pt_0.01	Control	40	-0.176074496858952	0.956187659911716	-0.0327755804925833	1.05712985521404
PRSice_C+T	BPD	0.1	PRSice_BPD_Pt_0.1	Control	40	-0.109600266773403	1.03165447762662	-0.256154081816553	1.45941703359023
Shizhong_C+T	BPD	0.2	Shizhong_BPD_Pt_0.2	Control	40	-0.0240377340651646	1.07299048286845	-0.113149704264748	1.67760771484433
Shizhong_C+T	BPD	0.01	Shizhong_BPD_Pt_0.01	Control	40	0.00567788988174843	1.08828899562712	-0.000741145156297386	1.68261953230234
Shizhong_C+T	SCZD	0.8	Shizhong_SCZD_Pt_0.8	Control	40	-0.201189958753831	0.926590046579228	-0.331943254549164	1.10059555196002
Shizhong_C+T	SCZD	0.9	Shizhong_SCZD_Pt_0.9	Control	40	-0.202126984439785	0.925610716397844	-0.327989614933326	1.09402974968811
Shizhong_C+T	BPD	0.9	Shizhong_BPD_Pt_0.9	MDD	39	-0.169719449830326	0.903581132090485	-0.224109943583202	1.27669972537849
Shizhong_C+T	SCZD	0.05	Shizhong_SCZD_Pt_0.05	MDD	39	-0.140362422515645	0.907405580130439	-0.167274959788048	0.782986511992867
Shizhong_C+T	SCZD	0.1	Shizhong_SCZD_Pt_0.1	MDD	39	-0.133279692893411	0.905131337561043	-0.243579651307508	0.869942113948774
PRSice_C+T	SCZD	0.05	PRSice_SCZD_Pt_0.05	MDD	39	-0.0870020961319284	0.978078815113261	-0.130650437807654	1.29200133900527
Shizhong_C+T	SCZD	0.001	Shizhong_SCZD_Pt_0.001	MDD	39	-0.156987004346672	1.00223796485585	-0.138810956511201	1.61735578974101
Shizhong_C+T	BPD	0.4	Shizhong_BPD_Pt_0.4	MDD	39	-0.183639798812407	0.923365157846922	-0.133478287221311	1.29048857892468
Shizhong_C+T	SCZD	0.01	Shizhong_SCZD_Pt_0.01	MDD	39	-0.0645629495011971	0.938286825101611	-0.0369722267250329	1.42928222037803
Shizhong_C+T	BPD	1	Shizhong_BPD_Pt_1	MDD	39	-0.169245651619193	0.902853238899253	-0.226424123857786	1.27339683924964
Shizhong_C+T	SCZD	0.2	Shizhong_SCZD_Pt_0.2	MDD	39	-0.110983508593126	0.903539313505973	-0.155668909034012	0.909020091014919
PRSice_C+T	SCZD	0.1	PRSice_SCZD_Pt_0.1	MDD	39	-0.0217309343026685	0.954678961452854	-0.0838646224004265	1.10215867507007
Shizhong_C+T	SCZD	1e-04	Shizhong_SCZD_Pt_1e-04	MDD	39	-0.181496011200102	1.09309364053953	-0.0863513552549932	1.37620797576271
Shizhong_C+T	MDD	0.01	Shizhong_MDD_Pt_0.01	MDD	39	-0.113379119300369	1.06604038214265	-0.0793871003015741	1.31467876976947
Shizhong_C+T	SCZD	1e-06	Shizhong_SCZD_Pt_1e-06	MDD	39	-0.171118476397049	1.19685578985001	0.147660176942059	1.45224611133894
Shizhong_C+T	MDD	0.001	Shizhong_MDD_Pt_0.001	MDD	39	-0.0606786046899823	1.14052410089298	-0.108606041433531	1.40375859937763
PRSice_C+T	BPD	1e-04	PRSice_BPD_Pt_0.0001	MDD	39	-0.304728857603625	1.13825869091292	-0.322376983815809	1.5948688088087
Shizhong_C+T	MDD	0.8	Shizhong_MDD_Pt_0.8	MDD	39	-0.199618482442837	1.00648724360121	-0.312532057508714	1.1904797462176
Shizhong_C+T	SCZD	0.4	Shizhong_SCZD_Pt_0.4	MDD	39	-0.144709282274474	0.875332573175975	-0.0921165904032922	1.00725606896969
Shizhong_C+T	MDD	0.7	Shizhong_MDD_Pt_0.7	MDD	39	-0.201730924706061	1.01157713830052	-0.288144209991891	1.16686766003086
Shizhong_C+T	SCZD	1e-07	Shizhong_SCZD_Pt_1e-07	MDD	39	-0.231113466598783	1.21140351365814	-0.0165743197755946	1.6548980252098
Shizhong_C+T	MDD	0.6	Shizhong_MDD_Pt_0.6	MDD	39	-0.192878565252847	1.0179628101356	-0.311603434329772	1.17511324535992
Shizhong_C+T	MDD	0.05	Shizhong_MDD_Pt_0.05	MDD	39	-0.116042787783562	1.02330820977519	-0.0189431435817865	1.42318106932006
Shizhong_C+T	BPD	0.1	Shizhong_BPD_Pt_0.1	MDD	39	-0.234681550011246	0.89746062715018	-0.207320891660301	1.48419134891008
PRSice_C+T	BPD	0.001	PRSice_BPD_Pt_0.001	MDD	39	-0.220587531596862	1.06854736709019	-0.0919691559109572	1.7458411760635
Shizhong_C+T	MDD	0.4	Shizhong_MDD_Pt_0.4	MDD	39	-0.18609944758272	1.01165649883238	-0.277414227765539	1.14824259799154
Shizhong_C+T	SCZD	0.7	Shizhong_SCZD_Pt_0.7	MDD	39	-0.158795898079554	0.908265516581375	-0.117136594373807	1.11780411762511
Shizhong_C+T	SCZD	0.6	Shizhong_SCZD_Pt_0.6	MDD	39	-0.148339261109186	0.898731809285604	-0.114779349746289	1.10906675498746
Shizhong_C+T	BPD	1e-08	Shizhong_BPD_Pt_1e-08	MDD	39	-0.0262874139771868	1.17232501067283	-0.0728870951829381	1.49064484023452
Shizhong_C+T	BPD	0.5	Shizhong_BPD_Pt_0.5	MDD	39	-0.159922006226485	0.911388949501645	-0.154958279058156	1.30596567037818
Shizhong_C+T	SCZD	0.5	Shizhong_SCZD_Pt_0.5	MDD	39	-0.151826552683655	0.890144098037971	-0.087968618411663	1.04826506499387
Shizhong_C+T	MDD	0.2	Shizhong_MDD_Pt_0.2	MDD	39	-0.20046614693629	0.99284740753593	-0.246038219530606	0.999538885905191
GraphPred_bcftools	MDD	NA	GraphPred_MDD	MDD	39	-0.04656006692344	1.01023437979353	-0.196690447095031	1.37373571344394
Shizhong_C+T	MDD	0.1	Shizhong_MDD_Pt_0.1	MDD	39	-0.162257008398227	1.03632915599804	-0.17474575504606	1.05478307189693
Shizhong_C+T	SCZD	1e-08	Shizhong_SCZD_Pt_1e-08	MDD	39	-0.174986280161495	1.23263494922835	-0.0900325989977144	1.6952213673738
Shizhong_C+T	BPD	0.8	Shizhong_BPD_Pt_0.8	MDD	39	-0.166701655578157	0.90114457811774	-0.232053630288444	1.29868745760387
Shizhong_C+T	MDD	1	Shizhong_MDD_Pt_1	MDD	39	-0.199961632568322	1.00736113688138	-0.318090977860714	1.19904022927415
PRSice_C+T	SCZD	0.5	PRSice_SCZD_Pt_0.5	MDD	39	-0.0807341969770157	0.997816357068825	-0.126900343278408	1.32061641920893
Shizhong_C+T	SCZD	1e-05	Shizhong_SCZD_Pt_1e-05	MDD	39	-0.119277698649234	1.14049138953757	0.0160334197581367	1.33166012158639
Shizhong_C+T	BPD	0.6	Shizhong_BPD_Pt_0.6	MDD	39	-0.160335263940267	0.90971497336478	-0.0982991913870742	1.33206859248834
PRSice_C+T	BPD	1	PRSice_BPD_Pt_1	MDD	39	-0.138131130082533	0.949747269029453	-0.0644131262107198	1.19324208980627
Shizhong_C+T	MDD	0.3	Shizhong_MDD_Pt_0.3	MDD	39	-0.184541479784141	0.992259134322101	-0.221188259443231	1.04190660822031
PRSice_C+T	MDD	0.01	PRSice_MDD_Pt_0.01	MDD	39	-0.109444363462525	1.07536434991174	-0.242540707925387	1.24017926090488
PRSice_C+T	BPD	0.5	PRSice_BPD_Pt_0.5	MDD	39	-0.13935875973116	0.95030274383895	-0.243220987547598	1.21885667744103
PRSice_C+T	MDD	0.001	PRSice_MDD_Pt_0.001	MDD	39	-0.134500142769475	1.12284217977496	-0.184106048603391	1.31952928842015
Shizhong_C+T	BPD	0.3	Shizhong_BPD_Pt_0.3	MDD	39	-0.230680728165803	0.906364114612748	-0.230225364380219	1.27352069247703
PRSice_C+T	SCZD	0.01	PRSice_SCZD_Pt_0.01	MDD	39	0.00785465600038957	1.03167581256503	0.118516355449679	1.24029401157323
Shizhong_C+T	SCZD	0.3	Shizhong_SCZD_Pt_0.3	MDD	39	-0.130115652955322	0.892694607185828	-0.127237863090904	0.983705162003977
PRSice_C+T	SCZD	0.001	PRSice_SCZD_Pt_0.001	MDD	39	-0.161265277430834	1.04520730819809	-0.0667850658197703	1.48213756755939
PRSice_C+T	SCZD	1	PRSice_SCZD_Pt_1	MDD	39	-0.0782644667847438	0.979258110670693	-0.119406660831014	1.29557689916566
PRSice_C+T	SCZD	1e-04	PRSice_SCZD_Pt_0.0001	MDD	39	-0.158721522515733	1.15376056249943	0.106571087030692	1.3228580750635
Shizhong_C+T	MDD	0.5	Shizhong_MDD_Pt_0.5	MDD	39	-0.186895790383185	1.01746511530864	-0.317550706311631	1.13187524803133
Shizhong_C+T	BPD	0.05	Shizhong_BPD_Pt_0.05	MDD	39	-0.198213470217487	0.973441978667789	-0.250133035911381	1.3861573817194
GraphPred_bcftools	SCZD	NA	GraphPred_SCZD	MDD	39	-0.151850737339501	1.00253086539757	-0.0562559460580932	1.24116127213953
PRSice_C+T	SCZD	1e-06	PRSice_SCZD_Pt_1e-06	MDD	39	-0.20399503492249	1.21663259070873	0.262312962563154	1.44476138413849
Shizhong_C+T	MDD	1e-08	Shizhong_MDD_Pt_1e-08	MDD	39	-0.000690309801067633	1.1934099338795	-0.02902139615977	1.10865800857096
PRSice_C+T	SCZD	5e-08	PRSice_SCZD_Pt_5e-08	MDD	39	-0.215565619018572	1.2583407344683	0.373453266817061	1.39191371011569
Shizhong_C+T	MDD	1e-06	Shizhong_MDD_Pt_1e-06	MDD	39	-0.0708080633178528	0.980298481074582	-0.17874619682242	1.18726211555582
PRSice_C+T	MDD	1	PRSice_MDD_Pt_1	MDD	39	-0.221171570892458	0.989850601603785	-0.417544452355969	1.26180591985802
PRSice_C+T	MDD	1e-04	PRSice_MDD_Pt_0.0001	MDD	39	-0.161299629619331	1.0121078135509	-0.126869310333946	1.30428687821425
PRSice_C+T	BPD	0.05	PRSice_BPD_Pt_0.05	MDD	39	-0.170588113227357	0.992398766699884	-0.260859717193137	1.26865652728434
Shizhong_C+T	MDD	0.9	Shizhong_MDD_Pt_0.9	MDD	39	-0.200893022984145	1.00744985752879	-0.316182820276109	1.19963665988193
Shizhong_C+T	BPD	0.2	Shizhong_BPD_Pt_0.2	MDD	39	-0.242804833319883	0.938829496719561	-0.273792409164062	1.15017064984808
Shizhong_C+T	MDD	1e-07	Shizhong_MDD_Pt_1e-07	MDD	39	0.0674869547090315	1.07455532476481	0.129110411093138	1.05074058116629
Shizhong_C+T	BPD	0.7	Shizhong_BPD_Pt_0.7	MDD	39	-0.160468288599258	0.897198882433323	-0.173594459296647	1.28717222837334
PRSice_C+T	BPD	1e-06	PRSice_BPD_Pt_1e-06	MDD	39	-0.284659016816768	1.18481917022135	-0.020834246584177	1.08266663194049
Shizhong_C+T	SCZD	0.8	Shizhong_SCZD_Pt_0.8	MDD	39	-0.159257809236981	0.899025718405677	-0.0906807780334214	1.07712729288076
Shizhong_C+T	BPD	1e-07	Shizhong_BPD_Pt_1e-07	MDD	39	-0.158334953155465	1.25228123174491	-0.230953471429258	1.40179467221241
Shizhong_C+T	BPD	1e-05	Shizhong_BPD_Pt_1e-05	MDD	39	-0.215651353844126	1.0701349233331	-0.167382139384064	1.54088949107391
PRSice_C+T	BPD	0.01	PRSice_BPD_Pt_0.01	MDD	39	-0.165455339641875	0.980940699174124	-0.027839379830502	1.23830677264129
GraphPred_bcftools	BPD	NA	GraphPred_BPD	MDD	39	-0.140810830303957	1.06997261684603	-0.217575883761149	0.892591252645201
Shizhong_C+T	MDD	1e-04	Shizhong_MDD_Pt_1e-04	MDD	39	-0.18277635612428	0.935987919060318	-0.137917371071913	0.973692319792695
PRSice_C+T	BPD	0.1	PRSice_BPD_Pt_0.1	MDD	39	-0.205918956267975	0.91797214726921	-0.269816593941452	1.09855733545911
Shizhong_C+T	BPD	0.01	Shizhong_BPD_Pt_0.01	MDD	39	-0.12579328463003	0.914647660513863	-0.0553125894471947	1.08056971963056
PRSice_C+T	MDD	5e-08	PRSice_MDD_Pt_5e-08	MDD	39	0.00246339285230989	1.12439586099374	-0.0490599777636792	1.14419714046303
PRSice_C+T	MDD	0.5	PRSice_MDD_Pt_0.5	MDD	39	-0.22265773962112	0.978511140746061	-0.371048575548386	1.31439336011148
PRSice_C+T	MDD	1e-06	PRSice_MDD_Pt_1e-06	MDD	39	-0.0884469373488328	1.06933863622784	-0.115269511779417	1.32125381305287
Shizhong_C+T	BPD	1e-04	Shizhong_BPD_Pt_1e-04	MDD	39	-0.18203968242326	1.01014555883444	-0.275496624451576	1.74956609847364
PRSice_C+T	MDD	0.1	PRSice_MDD_Pt_0.1	MDD	39	-0.233652355683283	1.04892717681152	-0.406169340780311	1.45651789158984
Shizhong_C+T	MDD	1e-05	Shizhong_MDD_Pt_1e-05	MDD	39	-0.148352076457846	1.00972412819961	-0.282275131211093	1.30799169626519
Shizhong_C+T	BPD	1e-06	Shizhong_BPD_Pt_1e-06	MDD	39	-0.196691948336419	1.15158739496891	-0.164734727604286	1.42804275003492
PRSice_C+T	MDD	0.05	PRSice_MDD_Pt_0.05	MDD	39	-0.146727897535157	1.03500626159268	-0.10019089356566	1.6216238439633
PRSice_C+T	BPD	5e-08	PRSice_BPD_Pt_5e-08	MDD	39	-0.155185578612053	1.24419251475649	0.177330999819309	1.19408049030668
Shizhong_C+T	SCZD	0.9	Shizhong_SCZD_Pt_0.9	MDD	39	-0.158499687781899	0.901301309538414	-0.0949525676416721	1.09753661787551
Shizhong_C+T	BPD	0.001	Shizhong_BPD_Pt_0.001	MDD	39	-0.0365143682404449	1.0041895442272	-0.23646215522575	1.43176779822237
Shizhong_C+T	SCZD	1	Shizhong_SCZD_Pt_1	MDD	39	-0.157433035026762	0.902356155525532	-0.0870570395947987	1.10637611423264
Shizhong_C+T	SCZD	0.05	Shizhong_SCZD_Pt_0.05	Bipolar	40	0.42715842671459	1.03763107096399	0.451150413610111	1.38667506700941
Shizhong_C+T	SCZD	0.1	Shizhong_SCZD_Pt_0.1	Bipolar	40	0.404740126130891	1.02255380802452	0.483392825450887	1.25311820059776
Shizhong_C+T	BPD	1e-08	Shizhong_BPD_Pt_1e-08	Bipolar	40	0.124516989314947	0.965717788903082	0.178756485485311	1.40185922335494
Shizhong_C+T	SCZD	0.6	Shizhong_SCZD_Pt_0.6	Bipolar	40	0.346049203958707	1.09271283427249	0.378642186146092	1.38352879399902
PRSice_C+T	BPD	0.01	PRSice_BPD_Pt_0.01	Bipolar	40	0.193835396635538	1.00995542894715	0.255780396358549	1.57407928389302
PRSice_C+T	SCZD	0.1	PRSice_SCZD_Pt_0.1	Bipolar	40	0.322528848842233	0.953466313280457	0.340886208868314	0.959206415347298
Shizhong_C+T	SCZD	0.5	Shizhong_SCZD_Pt_0.5	Bipolar	40	0.355146524385793	1.08127891411323	0.4040741671977	1.37589400376262
Shizhong_C+T	SCZD	1e-06	Shizhong_SCZD_Pt_1e-06	Bipolar	40	0.305000291133856	0.7711445273265	0.344946773104064	0.969455010539327
Shizhong_C+T	BPD	1e-07	Shizhong_BPD_Pt_1e-07	Bipolar	40	0.326960594415397	0.78284469989812	0.162271447300087	0.928861726911177
PRSice_C+T	BPD	1e-04	PRSice_BPD_Pt_0.0001	Bipolar	40	0.312307660059514	0.893846387817586	0.163523496218096	0.819286531204752
Shizhong_C+T	MDD	1	Shizhong_MDD_Pt_1	Bipolar	40	0.245841293937297	0.914484631707008	0.38151850795069	1.32674394944352
Shizhong_C+T	MDD	1e-08	Shizhong_MDD_Pt_1e-08	Bipolar	40	0.0718319043307118	0.733473728661757	0.104623098736823	0.708081367466616
Shizhong_C+T	MDD	0.3	Shizhong_MDD_Pt_0.3	Bipolar	40	0.245407549474666	0.922112548429225	0.378136849250184	1.3803720173841
Shizhong_C+T	MDD	0.7	Shizhong_MDD_Pt_0.7	Bipolar	40	0.249902249613157	0.914652942690073	0.375164026855283	1.32279071833409
Shizhong_C+T	MDD	0.6	Shizhong_MDD_Pt_0.6	Bipolar	40	0.246626130269284	0.909042275985679	0.389235233837468	1.27048906906838
