method	disorder	threshold_label	score_col	PrimaryDx	n	mean_z	sd_z	median_z	iqr_z
Shizhong_C+T	BPD	1e-08	Shizhong_BPD_Pt_1e-08	Control	40	-0.0988867606871905	0.85281973613155	-0.0278646015170532	0.950080688325757
Shizhong_C+T	SCZD	0.6	Shizhong_SCZD_Pt_0.6	Control	40	-0.201418424377254	0.926378345083842	-0.287388319422244	1.1041463168553
GraphPred_bcftools	MDD	NA	GraphPred_MDD	Control	40	-0.304402094861476	0.916910103214241	-0.316465739283356	1.0479359677585
Shizhong_C+T	MDD	0.7	Shizhong_MDD_Pt_0.7	Control	40	-0.0532145980247474	1.04132063267519	0.0260341852833755	1.1793964973711
Shizhong_C+T	SCZD	0.5	Shizhong_SCZD_Pt_0.5	Control	40	-0.207115635519212	0.942351321514643	-0.334174435049034	1.12563086280614
Shizhong_C+T	MDD	0.6	Shizhong_MDD_Pt_0.6	Control	40	-0.0585695291477593	1.04235349729692	0.0302038597554644	1.2193129321923
Shizhong_C+T	SCZD	0.4	Shizhong_SCZD_Pt_0.4	Control	40	-0.213143219686294	0.951641756251949	-0.376805385132276	1.07020957328031
PRSice_C+T	MDD	1e-06	PRSice_MDD_Pt_1e-06	Control	40	-0.196115105993943	1.1580488528455	-0.191689367791852	1.11258339525414
Shizhong_C+T	SCZD	0.3	Shizhong_SCZD_Pt_0.3	Control	40	-0.215275024959557	0.957182433501398	-0.281861048346857	0.95149828390433
PRSice_C+T	SCZD	0.5	PRSice_SCZD_Pt_0.5	Control	40	-0.172425318611235	0.892524005427255	-0.274639161441425	1.26439420938774
Shizhong_C+T	MDD	0.4	Shizhong_MDD_Pt_0.4	Control	40	-0.0681569345427669	1.03920420373765	0.00738784239383554	1.19147401726568
PRSice_C+T	SCZD	0.1	PRSice_SCZD_Pt_0.1	Control	40	-0.301341187897132	1.01400263930671	-0.359123204570333	1.45376192811246
Shizhong_C+T	SCZD	0.2	Shizhong_SCZD_Pt_0.2	Control	40	-0.242197269868403	0.967695708338579	-0.347177768066319	1.19401891670323
PRSice_C+T	SCZD	0.05	PRSice_SCZD_Pt_0.05	Control	40	-0.285580015276288	0.978245007007876	-0.347404886782516	1.50905919943384
Shizhong_C+T	SCZD	0.1	Shizhong_SCZD_Pt_0.1	Control	40	-0.274792425559797	0.958406625955811	-0.313027589047212	1.24230333319835
Shizhong_C+T	BPD	0.4	Shizhong_BPD_Pt_0.4	Control	40	-0.0452166171924505	1.03824736091169	-0.0835889487804606	1.62140349932755
Shizhong_C+T	SCZD	0.05	Shizhong_SCZD_Pt_0.05	Control	40	-0.290305064761836	0.923800762454563	-0.210220132546595	1.20592575670764
Shizhong_C+T	MDD	0.2	Shizhong_MDD_Pt_0.2	Control	40	-0.0936366324811095	1.03208115663779	-0.109079649722792	1.13430886854967
PRSice_C+T	SCZD	0.001	PRSice_SCZD_Pt_0.001	Control	40	-0.204133829415587	1.0903161048931	0.11877693722283	1.31083428750335
Shizhong_C+T	SCZD	0.01	Shizhong_SCZD_Pt_0.01	Control	40	-0.278863677660471	0.964671346365849	-0.236824278293105	1.56321341278803
PRSice_C+T	SCZD	1e-04	PRSice_SCZD_Pt_0.0001	Control	40	-0.189206055450589	1.03346958049121	0.0181055064079775	1.03809715702259
