SAMPLE	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	MDD_MDD_2025_pgs_a0.5_b2e-08	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_BPD_Pt_5e-08	PRSice_BPD_Pt_1e-06	PRSice_BPD_Pt_0.0001	PRSice_BPD_Pt_0.001	PRSice_BPD_Pt_0.01	PRSice_BPD_Pt_0.05	PRSice_BPD_Pt_0.1	PRSice_BPD_Pt_0.5	PRSice_BPD_Pt_1	PRSice_MDD_Pt_5e-08	PRSice_MDD_Pt_1e-06	PRSice_MDD_Pt_0.0001	PRSice_MDD_Pt_0.001	PRSice_MDD_Pt_0.01	PRSice_MDD_Pt_0.05	PRSice_MDD_Pt_0.1	PRSice_MDD_Pt_0.5	PRSice_MDD_Pt_1	PRSice_SCZD_Pt_5e-08	PRSice_SCZD_Pt_1e-06	PRSice_SCZD_Pt_0.0001	PRSice_SCZD_Pt_0.001	PRSice_SCZD_Pt_0.01	PRSice_SCZD_Pt_0.05	PRSice_SCZD_Pt_0.1	PRSice_SCZD_Pt_0.5	PRSice_SCZD_Pt_1
Br5666	-0.628587	-0.257442	-2.59347	-1.11464822	-1.36171742	2.58519332	2.38058943	-5.55167546	-6.92799546	-10.2480345	-16.6564571	-16.4283276	-0.473564095	-0.772109991	-0.591269729	-0.769096939	-1.81876488	-3.94695633	-5.87088578	-8.64665223	-8.45783218	-3.54536689	-4.02983396	-5.4111111	-7.96093965	-12.5816465	-18.507558	-23.4935776	-27.9071743	-28.3202926
Br5673	-0.00636265	0.118245	-0.46953	0.597964578	0.0472037094	1.94332083	1.45740369	-2.31666954	1.02532964	-1.44724592	-5.74815379	-3.88677308	0.180394917	0.181757545	1.15572725	3.30803858	2.94230472	1.83125696	0.689078247	-4.23796767	-3.77845825	0.678970549	-0.514996577	-2.6841135	-0.573741928	2.64285656	-2.78918606	-6.42634843	-6.92830938	-7.30144876
Br5694	-1.01047	0.03031	-2.21406	-1.60176807	-2.97324626	-0.997832333	-1.30528578	-9.05505187	-8.62046209	-9.61615245	-15.1316249	-13.1234444	-0.137477906	-0.139178339	0.137792822	1.48883404	0.692055563	-1.17533231	-2.94879561	-5.59580657	-5.19832095	-6.0653208	-7.00277488	-6.89419889	-8.05490127	-10.2944955	-16.903882	-24.6877698	-31.5013101	-30.9349541
Br5753	-0.593571	0.208919	-1.75861	0.108805668	-0.297060345	2.20646286	2.26619383	-3.03946027	-4.47197766	-3.96468512	-8.82445013	-6.16354167	0.263780909	0.385999984	1.2206103	1.58416214	3.14501904	4.72545861	2.99580767	-0.821092089	-0.591910161	-1.02507567	-1.51412921	-3.69366726	-4.60799889	-5.87079755	-13.6768113	-21.1325501	-27.2221492	-27.2363178
Br5760	-0.767563	-0.157165	-1.09017	-0.243331761	-0.771885924	2.46075483	3.23624323	-2.42170761	-2.43583894	-4.8627842	-12.2290057	-11.5489468	0.708370927	0.502460007	0.858452218	0.821346587	-0.3381868	-1.63017126	-3.57693876	-5.3995222	-5.68708454	1.1095047	0.818465553	-1.64370292	-0.460079751	-3.8447927	-8.37387559	-11.9062892	-11.5964091	-11.7227348
Br5799	-0.159295	0.159928	-0.931973	0.040060429	-0.96416945	2.58177344	2.45490955	-1.43595578	1.13045178	0.347906893	-3.01290982	-0.960473471	0.558383466	0.543276625	1.60892017	3.11940922	3.17908383	2.8137905	1.90315606	-0.410752817	-0.312740562	-0.592541749	-1.61694154	-4.76754744	-6.59723061	-3.41510975	-9.14986656	-16.3620869	-18.0235026	-17.0743854
Br5803	-0.108981	-0.0415272	-1.49221	0.181793241	-0.422521969	1.94186679	0.710910836	-4.47474606	-1.39443211	0.278739409	-3.85664629	-3.13253248	-0.14175301	-0.133029855	-0.202307757	1.14350886	0.535794478	0.0534719453	-1.00372434	-3.85047364	-3.89366654	0.935457223	0.367462071	-2.81776935	-4.13730733	-8.37303747	-16.341553	-25.5467107	-32.1801851	-32.0780106
Br5831	-0.576454	-0.0954946	-1.50597	-1.22956864	-2.34603492	-0.120542267	-0.592638716	-4.95515776	-7.8239049	-7.67192137	-14.7692918	-13.7182791	-1.31248921	-1.30483689	-1.21201393	-0.0377624025	-1.18414487	-2.1465285	-2.76342236	-6.0580882	-5.94782799	-6.86613706	-8.09264373	-11.9327822	-13.1483777	-12.6568373	-15.8095668	-21.7201431	-18.3048618	-16.9450258
Br5834	-0.58433	-0.29656	-1.10577	0.672170418	0.256803438	3.62285308	3.59146022	-0.81495151	-1.42187325	-3.47066998	-9.34432568	-7.8788283	-0.0983007863	-0.106550245	-0.0176632384	0.743790088	-0.503229112	-2.63013729	-5.3244208	-8.05493859	-8.22119131	0.294888342	-0.0811849925	-0.120007704	-0.783207509	1.37455694	-3.56339883	-9.85221193	-11.3027949	-11.4011608
Br5840	-0.101582	-0.165021	-0.400815	0.467444935	-0.504870832	3.43395436	5.19065153	4.50832424	10.6401871	10.7770186	6.37596438	6.84314471	0.415961742	0.615009742	1.14416761	2.00371078	1.65416348	1.01788335	-0.0900226449	-3.65375394	-3.95605699	1.90474286	1.70158157	0.025333742	-1.25371938	-1.85730182	-4.6780795	-10.8027293	-9.26241899	-8.57032901
