--counts	SCZ_2022.EUR_pgs_a0.5_b2e-07
Br1113	-0.312729
Br1204	-0.548932
Br1092	-1.54323
Br5156	-0.987255
Br5392	-1.43195
Br5288	-0.471132
Br5481	0.0530984
Br5366	-2.19941
Br5437	-0.642190
Br5249	-0.949535
Br5137	-1.34975
Br5477	-0.842986
Br5395	0.0815805
Br5400	-0.830086
Br5440	-0.245369
Br5558	-0.425089
Br5572	-0.697773
Br5599	-1.03301
Br5622	-0.916148
Br5448	-0.699686
Br5454	-1.36420
Br5472	-1.75885
Br5451	-1.24585
Br5803	-1.49221
Br5831	-1.50597
Br5939	-0.914061
Br5623	-0.923943
Br5834	-1.10577
Br5312	-0.507314
Br5266	-0.755376
Br5617	-0.937895
Br5753	-1.75861
Br5799	-0.931973
Br5916	-0.298876
Br5436	-1.72453
Br5272	-1.80522
Br5594	-2.15278
Br5639	-0.945798
Br5589	-0.815676
Br5993	-2.31686
Br6016	-1.22992
Br5600	-1.66139
Br5760	-1.09017
Br5856	-0.194392
Br5861	-1.33457
Br5910	-2.35010
Br5958	-0.364706
Br8100	-1.37837
Br5673	-0.469530
Br5694	-2.21406
Br8218	-1.28762
Br5666	-2.59347
Br6126	0.293079
Br6000	0.185478
Br8042	-0.666398
Br5840	-0.400815
Br5960	-0.970634
Br6192	-1.99327
Br6021	-0.803496
Br6203	-1.14497
Br5902	0.192218
Br8092	-0.535348
Br5920	-1.09533
Br2701	-2.58989
Br6148	0.0534550
Br6197	-1.25295
Br8104	-1.63291
Br8127	-1.68943
Br8134	-0.578330
Br8136	-1.42741
Br8073	-1.42201
Br6231	-1.26622
Br6316	-0.302003
Br6238	-0.871178
Br6344	-1.42139
Br8158	-1.34537
Br8325	-2.00440
Br8221	-1.22428
Br6256	-0.886559
Br2726	-0.987201
Br8404	-0.856512
Br6366	-1.17166
Br6436	-1.31368
Br6424	-0.719720
Br6432	-2.27405
Br6382	-0.154629
Br6413	-0.291399
Br6450	-0.903907
Br6471	-1.18395
Br6489	-0.136783
Br6529	-0.444500
Br6499	-0.737295
Br8492	-1.39848
Br8665	-1.63147
Br8667	-0.666099
Br8741	-0.117977
Br2765	-1.62350
Br6588	-1.88710
Br3893	0.0461173
Br2761	-1.16458
Br3998	-1.63569
Br3881	-1.34650
Br8210	-0.332378
Br8433	-1.69124
Br8237	-1.03211
Br6320	-0.938422
Br2720	-1.24466
Br6279	-0.284059
Br6297	-0.999499
Br6114	-1.78720
Br8485	-0.982043
Br8600	-0.609508
Br8677	-2.32981
Br5367	-0.951645
Br2371	-1.66755
Br5314	-0.918932
Br5276	-1.99378
Br5228	-0.867357
Br5280	-1.82406
