--counts	MDD_2025_pgs_a0.5_b2e-08
Br1113	0.289368
Br1204	-0.197909
Br1092	-0.224003
Br5156	0.0389711
Br5392	0.278010
Br5288	0.0329051
Br5481	-0.186917
Br5366	-0.327999
Br5437	-0.176598
Br5249	0.0475891
Br5137	-0.0821881
Br5477	-0.0554308
Br5395	-0.0961662
Br5400	-0.156381
Br5440	0.250879
Br5558	-0.0344792
Br5572	0.141089
Br5599	0.0529250
Br5622	0.0362691
Br5448	0.0964228
Br5454	0.00371188
Br5472	-0.0162017
Br5451	0.224960
Br5803	-0.0415272
Br5831	-0.0954946
Br5939	0.217463
Br5623	0.0833286
Br5834	-0.296560
Br5312	0.253528
Br5266	-0.0504133
Br5617	0.291736
Br5753	0.208919
Br5799	0.159928
Br5916	-0.305551
Br5436	-0.115116
Br5272	-0.163303
Br5594	-0.181579
Br5639	-0.0888760
Br5589	-0.100528
Br5993	-0.150330
Br6016	0.0198585
Br5600	0.341674
Br5760	-0.157165
Br5856	-0.359369
Br5861	-0.316160
Br5910	-0.185563
Br5958	-0.0658945
Br8100	-0.171748
Br5673	0.118245
Br5694	0.0303100
Br8218	0.235746
Br5666	-0.257442
Br6126	0.181310
Br6000	0.296131
Br8042	-0.109827
Br5840	-0.165021
Br5960	0.0103142
Br6192	-0.0877910
Br6021	-0.0971944
Br6203	-0.146512
Br5902	-0.109095
Br8092	-0.236496
Br5920	0.0726794
Br2701	-0.500286
Br6148	0.183362
Br6197	0.0615082
Br8104	-0.0277766
Br8127	-0.250386
Br8134	-0.0525351
Br8136	0.239465
Br8073	0.0121089
Br6231	-0.0798992
Br6316	-0.183446
Br6238	0.251503
Br6344	0.00201811
Br8158	-0.247531
Br8325	-0.0509769
Br8221	0.151660
Br6256	0.116655
Br2726	-0.198211
Br8404	-0.0123443
Br6366	-0.00776514
Br6436	-0.0235979
Br6424	-0.120187
Br6432	-0.196760
Br6382	0.0618698
Br6413	0.0788342
Br6450	-0.0783758
Br6471	-0.292838
Br6489	0.000834633
Br6529	-0.330808
Br6499	-0.0524616
Br8492	-0.178872
Br8665	-0.00856619
Br8667	-0.0785768
Br8741	-0.215047
Br2765	-0.233154
Br6588	-0.469068
Br3893	0.179493
Br2761	-0.285401
Br3998	-0.146677
Br3881	-0.184151
Br8210	0.191540
Br8433	0.00164462
Br8237	0.0194257
Br6320	-0.161819
Br2720	-0.281725
Br6279	-0.150205
Br6297	0.0138111
Br6114	-0.209190
Br8485	-0.0320056
Br8600	0.224908
Br8677	-0.0604995
Br5367	-0.0144331
Br2371	-0.194445
Br5314	-0.134873
Br5276	-0.0234228
Br5228	-0.119003
Br5280	-0.0228067
